509  10
!tpot,clw_max,pblh,tpot_inv,rt_inv,srfc_tpot_inv,srfc_rt_inv,lwp_rad,cos_mu,wstd_bc
282.329  0.0008098  7537.5  7.104  -0.0030278 0  0.0004677  0.1  0.17281  0.126377
278.277  0.0005811  7597.4  6.756  -0.001319 0  0.0002279  1.9  0  0.106475
280.791  0.0003823  8797.9  2.765  -0.0022908 0  0.0005068  4.4  0.50961  0.177653
285.884  0.0005511  12664  6.844  -0.0037216 0.274  -0.0007479  0.1  0  0.251492
284.635  0.0004068  14521  4.509  -0.001201 1.225  -0.0016389  0.1  0.12052  0.212403
285.006  0.0003683  9150.2  6.359  -0.0028705 0.348  -0.00082  6.2  0  0.182571
286.516  0.0003744  14438.2  3.904  -0.0013016 0.976  -0.0012126  3.2  0.17848  0.158659
276.561  0.0004397  8772.2  2.721  -0.0016504 0.608  -0.0001394  1  0  0.268271
280.458  0.0003817  10296.7  5.258  -0.0024984 0.325  0.0001547  0  0.69353  0.163333
278.117  0.000343  8557.7  2.011  -0.0013913 0.883  -0.000136  2.7  0  0.236754
289.274  0.0003275  3475.2  2.967  -0.0019296 0.281  0.0001228  77.5  0.90159  0.0686833
275.206  0.0003499  9458.8  2.117  -0.0005622 0  -0.0002066  0.1  0  0.134206
278.635  0.0003367  8198.2  7.176  -0.0006184 0  -0.0001663  0  0.62794  0.0910096
270.753  0.000426  8939.2  4.723  -0.0008478 0.043  -2.99e-05  4.7  0.13499  0.145051
271.124  0.0003593  6040.2  3.383  -0.0001486 0.115  -2.95e-05  4.4  0.32157  0.0296094
269.747  0.0004565  12929.6  6.579  -0.0007102 0  8.93e-05  0.1  0.04176  0.176073
266.399  0.0003526  14271.3  5.425  -0.0010041 0  5.19e-05  0.2  0.25549  0.313472
270.376  0.0004535  6064.5  7.01  -0.0001424 0.097  3.28e-05  0.9  0.24747  0.0332453
268.265  0.0003695  9475.7  3.916  -0.0003674 0  9.44e-05  1.4  0.32726  0.0673798
278.261  0.0004156  14052  2.923  -0.0008428 1.159  -0.0008437  0.8  0  0.130694
283.082  0.0003176  7266.4  3.006  -0.0004746 0.769  -0.0006947  0.1  0.62207  0.0233245
